Name,Description,State,Priority,Labels,Start Date,Target Date,Estimate,Module,Cycle
"Limite de 3 reservas futuras ativas por numero de WhatsApp","Antes de inserir, contar reservations do mesmo guest_contact com slot_start>=now e status!=cancelled. Rejeitar se >=3.",Backlog,Medium,"priority:p2,type:security,area:public",2026-05-25,2026-05-30,1,Fluxo Publico de Reserva,Sprint 6 - Anti-abuso
"Validacao mais robusta de formato de WhatsApp","Hoje aceita qualquer string. Validar que tem >=10 digitos apos sanitize, e prefixo 55 implicito.",Backlog,Low,"priority:p3,type:feature,area:public",2026-05-25,2026-05-30,1,Fluxo Publico de Reserva,Sprint 6 - Anti-abuso
"Tabela beto_conversations para persistir historico","Schema: id uuid, session_id text, messages jsonb, tenant_id uuid, created_at, updated_at. RLS tenant-scoped.",Backlog,Medium,"priority:p2,type:feature,area:public",2026-05-02,2026-05-09,4,Atendente IA (Beto),Sprint 3 - Chat persistente
"UI: indicador 'continuar de onde parou' no BetoChat","Ao abrir o chat, se ha conversa anterior no cookie de sessao, carregar e mostrar badge 'retomando conversa'.",Backlog,Medium,"priority:p2,type:feature,area:public",2026-05-02,2026-05-09,2,Atendente IA (Beto),Sprint 3 - Chat persistente
"Rate limiting no /api/beto/chat (30 msg/h por sessao)","Reutilizar lib/rate-limit.ts com key = session_id. Limite 30/hora. Retornar 429 + header Retry-After.",Backlog,High,"priority:p1,type:security,area:public",2026-05-02,2026-05-09,1,Atendente IA (Beto),Sprint 3 - Chat persistente
"Migrar cardapio hardcoded para tabelas do Supabase","Criar tabelas menu_categories e menu_items. Mover dados de app/lib/beto/menu.ts para seed SQL. Regenerar system prompt dinamicamente.",Backlog,Low,"priority:p3,type:debt,area:admin",2026-05-25,2026-05-30,8,Atendente IA (Beto),Sprint 6 - Anti-abuso
"Migrar getAvailability() para PL/pgSQL","Function SQL get_availability(establishment_id, date) retornando slots livres em uma query atomica. Substituir as 3 queries atuais em app/lib/availability.ts.",Backlog,Medium,"priority:p2,type:debt,area:infra",2026-05-10,2026-05-16,3,Disponibilidade & Slots,Sprint 4 - Disponibilidade robusta
"Cache HTTP de 60s na API de slots","Adicionar headers Cache-Control: public, max-age=60 em /api/reservar/slots. Reduz carga no banco para datas populares.",Backlog,Low,"priority:p3,type:feature,area:infra",2026-05-10,2026-05-16,0.5,Disponibilidade & Slots,Sprint 4 - Disponibilidade robusta
"Backup automatico diario do banco Supabase","Cron job que usa supabase db dump --project-ref para salvar snapshot em storage proprio (S3 ou local). Reter 30 dias.",Backlog,High,"priority:p1,type:feature,area:infra",2026-04-21,2026-04-30,2,Infraestrutura & DevOps,Sprint 1 - Saneamento de seguranca
"Monitoring de uptime com alerta Slack/Telegram","Healthcheck externo (UptimeRobot ou self-hosted Uptime Kuma) batendo em /reservar a cada 1min. Alerta se status!=200 por 3 ciclos.",Backlog,High,"priority:p1,type:feature,area:infra",2026-04-21,2026-04-30,3,Infraestrutura & DevOps,Sprint 1 - Saneamento de seguranca
"Pipeline CI/CD (git push na master deploy automatico)","GitHub Actions: build docker image push para registry local docker service update. Dispara em push na master.",Backlog,Medium,"priority:p2,type:feature,area:infra",2026-05-10,2026-05-16,4,Infraestrutura & DevOps,Sprint 4 - Disponibilidade robusta
"Documentar comando de rollback emergencial","Runbook curto: como voltar para imagem anterior em caso de deploy ruim. Incluir no README ou em docs/runbook.md.",Backlog,Low,"priority:p3,type:docs,area:infra",2026-04-21,2026-04-30,0.5,Infraestrutura & DevOps,Sprint 1 - Saneamento de seguranca
